position,title,snippet,highlighs,link,displayed_link
45,Bill Clinton,Bill Clinton · @BillClinton. Happy Birthday President. @JoeBiden ! Thank you for your service to the American people. Here's hoping your day is ...,['Bill Clinton'],https://twitter.com/BillClinton/status/1594428159880925184,https://twitter.com › BillClinton › status
46,Bill Clinton,"Bill Clinton · @BillClinton. The heartbreaking violence in Venezuela must stop. I stand with President. @JGuaido. , the National Assembly, and ...",['Bill Clinton'],https://twitter.com/BillClinton/status/1099504112608018432,https://twitter.com › BillClinton › status
47,Bill Clinton,Bill Clinton · @BillClinton. Congratulations. @ericadamsfornyc. on your inauguration as. @NYCMayor ! I wish you great success as you begin your ...,['Bill Clinton'],https://twitter.com/BillClinton/status/1477369077958168579,https://twitter.com › BillClinton › status
48,Bill Clinton,"Conversation. Bill Clinton · @BillClinton. Remembering my dear friends this #PresidentsDay. Image. 9:26 PM · Feb 18, 2019.",['Bill Clinton'],https://twitter.com/BillClinton/status/1097608270594932737,https://twitter.com › BillClinton › status
49,Bill Clinton,"Bill Clinton · @BillClinton. As he's shown his entire life, don't bet against John McCain. Best wishes to him for a swift recovery. 1:10 AM ...",['Bill Clinton'],https://twitter.com/billclinton/status/887842138481979394,https://twitter.com › billclinton › status
50,Bill Clinton,Bill Clinton · @BillClinton . @StephenAtHome. : the awkward years—big dreams & even bigger hair. Thank you for helping those in need ...,['Bill Clinton'],https://twitter.com/BillClinton/status/915684001679110145,https://twitter.com › BillClinton › status
51,Bill Clinton,"Bill Clinton · @BillClinton. What an incredible accomplishment, Micheal. Follow your heart and your head, your future is incredibly bright. I ...",['Bill Clinton'],https://twitter.com/BillClinton/status/981965892241289216,https://twitter.com › BillClinton › status
52,Bill Clinton,"Bill Clinton · @BillClinton. Great to spend time with. @GeorgeHWBush. & Mrs. Bush in Houston today. We caught up about kids, grandkids, old ...",['Bill Clinton'],https://twitter.com/BillClinton/status/851196983683551232,https://twitter.com › BillClinton › status
53,Bill Clinton,"Bill Clinton · @BillClinton. In 1994, I was proud to be part of the first Presidential email exchange with another head of state,. @carlbildt.",['Bill Clinton'],https://twitter.com/BillClinton/status/1105438402034450433,https://twitter.com › BillClinton › status
54,Bill Clinton,Bill Clinton · @BillClinton. America has spoken and democracy has won. Now we have a President-Elect and Vice President-Elect who will serve ...,['Bill Clinton'],https://twitter.com/BillClinton/status/1325127411323842560,https://twitter.com › BillClinton › status
55,Bill Clinton,"Bill Clinton · @BillClinton. Like people all around the world, Hillary and I are thinking about Aretha Franklin tonight & listening to her ...",['Bill Clinton'],https://twitter.com/BillClinton/status/1029206948674248705,https://twitter.com › BillClinton › status
56,Bill Clinton,Bill Clinton · @BillClinton. Yesterday. @POTUS. delivered a powerful reminder that every one of us has a responsibility to stand up for ...,['Bill Clinton'],https://twitter.com/BillClinton/status/1707809634566762770,https://twitter.com › BillClinton › status
